"TEAM","YEAR","CONF","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","dbpr_Player 1","dbpr_Player 2","dbpr_Player 3","dbpr_Player 4","dbpr_Player 5","dbpr_Player 6","dbpr_Player 7","dbpr_Player 8","obpr_Player 1","obpr_Player 2","obpr_Player 3","obpr_Player 4","obpr_Player 5","obpr_Player 6","obpr_Player 7","obpr_Player 8","elo"
"Gonzaga",2024,"WCC",31,25,121.3,98.6,0.9151,56.7,47.3,14,16.5,33.3,27.2,31.5,25.8,58.3,45.1,35.5,34,69.1,2.5,NA,5,2.910819689,1.811936166,1.20451743,1.241243803,1.53359699,0.045415564,1.350596854,NA,5.260825844,4.288009729,4.178940809,3.817995458,3.519575287,2.88444051,1.344773848,NA,1706.05423602778
"Grambling",2024,"SWAC",31,20,97.7,106,0.2805,48.2,49.1,20.5,19,28.1,32.7,39.6,33.9,47,48.4,34.1,33.7,64.9,-8,NA,16,0.261524564,-1.178965309,-0.326631189,0.030326277,-0.568846761,0.17721276,-0.690581611,-1.130706623,-0.084905429,1.070850013,0.096541496,-0.916716954,-0.386826248,-1.810498072,-1.393003327,-0.964925786,1497.31535651984
"Grand Canyon",2021,"WAC",20,17,102.7,96,0.6852,53,44.9,20.4,16.6,32.4,22.6,34.7,29.6,55.7,44.9,32.2,29.9,65.4,-3.2,"R64",15,0.884107604,1.778834441,1.314389448,0.775957406,1.30818558,-0.976983947,-0.961610855,0.039660017,2.084918843,1.024004201,0.909128038,1.292481149,-0.183536845,1.829543996,1.310911384,0.237000445,1625.04338272366
"Grand Canyon",2023,"WAC",33,24,111.3,106,0.6388,52.8,47.5,18.1,15.1,30.2,30.4,36.9,33.2,50.4,47.1,37.6,32.3,64.9,-3.8,"R64",14,1.49261385,-0.076369978,0.083290732,-0.057242581,-0.425992787,1.195636968,-0.868322363,0.939719846,1.23726944,2.26851759,2.079358115,1.884581932,2.134436834,0.343156137,2.107155098,0.25967566,1642.22309939701
"Grand Canyon",2024,"WAC",32,29,111.1,99.8,0.7733,52,45.9,17.8,19.9,34.6,29.6,45.3,34.8,52.3,44.4,34.4,32.6,68,1.3,NA,12,1.410427202,1.662850663,0.630661644,1.800738935,1.71858065,1.830912457,0.814940598,0.251736153,2.807445822,2.502582548,2.577667752,1.380979412,1.119530119,0.950569283,1.363957986,1.069933527,1801.12252694624
"Green Bay",2016,"Horz",34,21,106.9,104.2,0.5729,49.8,51.5,15.8,21.1,30.9,32,42.2,35.8,48.5,50,35,36.3,77.3,-4.5,"R64",14,1.707622875,0.088667686,0.061093166,1.413502648,0.330815419,-0.827165699,0.088458569,-1.07101516,1.809676548,1.537070844,1.526256577,-0.860770698,-0.036238375,1.106844793,-0.300075356,0.765461496,1571.99194523597
"Hampton",2015,"MEAC",35,17,94.8,102.3,0.2939,45.6,46.4,20.2,20.1,31.8,30.9,43.8,45.5,45.6,44.5,30.4,33.9,69.6,-12.6,"R64",16,-0.408524912,-0.273103193,-0.963239311,0.780802844,1.172621495,0.154193435,0.517397347,-1.128101019,0.409561247,0.257714552,0.211820161,-1.644510067,-2.230060374,-1.707510869,-3.075318286,-1.561350956,1424.2877504257
"Hampton",2016,"MEAC",31,20,98.2,107.5,0.2615,46.7,48.6,18.7,16.7,34.5,27.2,41.3,35.7,47.3,47.5,30.5,33.8,71.9,-6.3,"R64",16,-0.138428833,0.64926556,-0.722824104,0.073575259,0.537266131,-1.786007714,-1.190479017,0.257518999,0.283555393,-0.554072142,0.317062199,-0.487567092,-1.392852199,-0.219670771,-1.331063208,-3.533292626,1552.3009327294
"Hartford",2021,"AE",23,15,97.3,99.6,0.4345,50.4,47.6,19,20.4,24.8,28.6,28.6,25,51.3,50.7,32.7,28.7,66.9,-4.9,"R64",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1550.5052427816
"Harvard",2013,"Ivy",29,19,104.9,99.9,0.6362,54.3,49.2,20.8,20.9,25.6,31.4,49.6,31.2,51.5,48.9,39.8,33.3,64.7,-2.6,"R32",14,-0.47074016,0.451240112,1.202945323,-0.227336817,0.241266436,-0.469402485,1.356365117,NA,3.236513316,2.063207216,0.696404678,1.8235701,0.66894218,0.719467941,-1.684156961,NA,1602.32799707961
