"TEAM","YEAR","CONF","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","dbpr_Player.1","dbpr_Player.2","dbpr_Player.3","dbpr_Player.4","dbpr_Player.5","dbpr_Player.6","dbpr_Player.7","dbpr_Player.8","obpr_Player.1","obpr_Player.2","obpr_Player.3","obpr_Player.4","obpr_Player.5","obpr_Player.6","obpr_Player.7","obpr_Player.8","elo"
"	
Seattle U",2016,"WAC",30,13,94,104.9,0.2194,47.5,49.1,23.1,18.9,32.5,31.3,36,34.9,44.7,47.7,35.5,33.9,66.7,-11.2,NA,NA,0.857921458,2.967272349,-0.281224073,-1.679028503,-0.211399293,-0.336360703,-0.455485797,-1.474686496,-0.767634293,-3.660926685,-0.889800659,0.062775416,-1.489520772,-1.430245543,-1.743906543,-1.439449045,NA
"	
Seattle U",2017,"WAC",27,13,95.3,102.8,0.2955,50.5,47.6,20.6,19,20.6,31.1,36.2,35.1,50.3,47.6,33.9,31.7,69.1,-11.7,NA,NA,-0.003685339,0.380538074,-0.126821343,1.356607408,-0.49947795,0.103890245,-2.409140777,-0.734513204,0.587770038,-0.204181074,-0.130786314,-2.200919674,-0.708917596,-1.812160619,-0.594981051,-2.615600486,NA
"	
Seattle U",2018,"WAC",31,20,103.7,104.6,0.4744,51,47.2,19.6,15.5,29.7,27.9,34.5,41,47.4,44.8,37.2,34.5,68.5,-7.4,NA,NA,1.329587542,0.012150625,-0.639677889,-0.087665526,-0.973796333,-0.332179867,-1.685355681,NA,1.078325775,0.388944267,0.788942705,-0.113720834,0.747832819,-1.551565139,-0.453107921,NA,NA
"	
Seattle U",2019,"WAC",31,18,100,100.6,0.4807,49.1,46.7,17.5,15.8,29.3,26.5,34.3,38.5,46.1,44.9,36.8,33.6,68.7,-8.9,NA,NA,0.172389346,1.048926179,1.642530874,1.125529652,-0.077115463,0.001237245,-0.930595651,-0.543746754,1.828083419,0.326371631,-0.784033163,-1.035174245,-0.025212486,-0.298752153,-0.153033461,-0.78003873,NA
"	
Seattle U",2021,"WAC",19,12,97.9,102.4,0.3736,46.5,50.5,15.7,21.7,26.3,30.1,28.4,40.4,45.6,50,31.8,34.3,69.3,-8.2,"N/A",NA,-0.259699888,0.133867929,-0.273899436,-0.195639744,0.321390067,-0.157564278,NA,NA,0.791112264,0.149331349,-0.323727269,-0.539060564,-1.662239307,-1.505828529,NA,NA,NA
"	
Seattle U",2022,"WAC",30,23,98.7,96.3,0.5711,48.3,46.4,16.3,20.5,26,25.6,28.8,40.5,47.1,46,33.1,31.4,70.4,-3.6,"N/A","N/A",1.357207653,1.406576767,0.418503006,-0.238344875,1.749914692,1.090930753,0.324486641,-0.195312743,1.775773111,-0.30862883,0.499588779,1.148885223,-1.721567795,-1.110154162,-0.400330655,-0.124227938,NA
"	
Seattle U",2023,"WAC",30,20,100,99.4,0.5196,46.3,48.8,16.9,17.8,29.9,26.6,32.4,33.3,46.4,49,30.9,32.3,68.8,-4.9,"N/A","N/A",1.525323917,1.425428636,1.484235823,-0.434719208,0.372539384,0.370881217,0.717645008,-0.461802398,0.911760429,0.144276891,-0.448429697,1.395759875,0.242962551,-0.397609019,-1.856662216,-1.253346189,NA
"	
Seattle U",2024,"WAC",32,19,103.7,100.1,0.6022,50.7,46.4,18.5,17.3,29.4,26.1,34.2,37.2,50.1,47.4,34.3,29.7,66.7,-8.4,NA,"N/A",1.537713601,-0.044054538,0.967211402,1.233238872,0.799268118,-0.094250415,0.540197001,-0.368879837,1.620565504,2.679320507,0.546663056,-0.135649465,-0.051319428,0.58414335,-0.413001153,-0.405734218,NA
"Abilene Christian",2014,"Slnd",21,2,95.1,116.4,0.0889,47.2,56.4,22.3,18,24.9,33.8,42.3,48.3,42.3,56.8,37.3,37.1,64.9,-14.1,NA,NA,-0.309928275,-1.232870668,-0.793404433,-0.810046364,-2.285861667,-1.25274143,-1.906732071,-2.159636428,-0.54348351,0.198856577,-1.160455508,-1.781749737,-0.613457991,-1.859769845,-1.397549551,-1.401038795,1399.802301
"Abilene Christian",2015,"Slnd",28,7,90.6,111.3,0.0854,47.3,55.3,19.8,20.8,24.1,33.9,28.3,44.7,42,55.2,37.8,37,64,-16.8,NA,NA,-0.495387297,-1.054685236,-1.609758871,-1.50527179,-0.963875582,-2.70532528,-1.800816546,NA,-0.705132199,-0.483818931,-0.732936893,-1.737757739,-2.540863192,-1.061839049,-2.462689657,NA,1431.953511
"Abilene Christian",2016,"Slnd",27,9,96.3,111.8,0.1529,50.5,54.6,19.2,19.2,24.5,27.6,40.3,46.5,48.4,54.2,36.3,36.9,68.4,-14.4,NA,NA,-0.000716257,-0.160016993,-1.090317409,-0.305371539,-0.718068996,-1.69604016,-1.248168409,-1.882358063,1.122813377,-0.173181701,-0.233389148,-1.158604413,-0.818114043,0.157689578,-0.975001046,-0.989298897,1428.611546
"Abilene Christian",2017,"Slnd",25,13,97.5,107.5,0.245,52.5,52.8,21,21.4,23,31.7,34.7,44.3,50.7,52.1,37.1,36.1,67.1,-12.5,NA,NA,0.27488476,0.241069759,-1.386731482,-0.066168646,0.038645102,-1.444018032,-0.984106316,-1.770598716,-0.116395478,-0.845764268,-0.066927104,-1.422535253,-1.813212897,-0.462509371,-1.17764236,-0.747547086,1482.497765
"Abilene Christian",2018,"Slnd",28,16,96.5,106.6,0.2423,50.4,51.4,20.3,21.6,27.3,29.7,31.5,43.2,51.9,52.3,31.8,33.2,69.8,-11.3,NA,NA,0.103069376,-0.017511712,-0.823590055,-0.758274156,0.095861076,-0.054358178,-0.512603736,-0.390477464,0.829482665,0.412830257,0.257423708,-0.173183305,-1.243096447,-1.204602838,-0.826084206,-1.368184393,1545.160226
"Abilene Christian",2019,"Slnd",30,27,100.9,100.7,0.5064,51.9,49.8,17.3,23.3,27,28.5,34,38.3,49.5,49.8,37.7,33.3,67.1,-2.6,"R64","15",0.999066976,-0.067431578,0.929120219,-0.13286688,-0.318331104,0.408181302,0.047397974,-1.048198759,1.424298004,2.112203654,1.010641874,1.515712716,0.664314209,-0.54429403,-0.950277418,-0.109271879,1717.942205
"Abilene Christian",2021,"Slnd",23,23,101.8,94.7,0.6977,52.9,45.4,19.4,26.7,30.6,27.9,34,42.5,50.8,46.3,37.7,29.1,70,-1.1,"R32","14",0.729295721,1.98024925,1.793649566,2.97111255,0.738916159,1.165514817,0.499768346,0.23277118,1.891132458,0.416629195,0.455380799,-0.750075984,1.12486748,0.610173267,0.266966465,0.363114461,1710.468955
