"game_id","season","season_type","game_date","game_date_time","team_id","team_uid","team_slug","team_location","team_name","team_abbreviation","team_display_name","team_short_display_name","team_color","team_alternate_color","team_logo","team_home_away","team_score","team_winner","assists","blocks","defensive_rebounds","field_goal_pct","field_goals_made","field_goals_attempted","flagrant_fouls","fouls","free_throw_pct","free_throws_made","free_throws_attempted","largest_lead","offensive_rebounds","steals","team_turnovers","technical_fouls","three_point_field_goal_pct","three_point_field_goals_made","three_point_field_goals_attempted","total_rebounds","total_technical_fouls","total_turnovers","turnovers","opponent_team_id","opponent_team_uid","opponent_team_slug","opponent_team_location","opponent_team_name","opponent_team_abbreviation","opponent_team_display_name","opponent_team_short_display_name","opponent_team_color","opponent_team_alternate_color","opponent_team_logo","opponent_team_score"
400786206,2015,3,2015-03-21,2015-03-21 20:00:00,254,"s:40~l:41~t:254","utah-utes","Utah","Utes","UTAH","Utah Utes","Utah","890012","7e8083","https://a.espncdn.com/i/teamlogos/ncaa/500/254.png","away",75,TRUE,12,3,21,57.9,22,38,0,14,71.9,23,32,NA,4,3,0,0,57.1,8,14,25,0,9,9,46,"s:40~l:41~t:46","georgetown-hoyas","Georgetown","Hoyas","GTWN","Georgetown Hoyas","Georgetown","110E42","001c58","https://a.espncdn.com/i/teamlogos/ncaa/500/46.png",64
400786206,2015,3,2015-03-21,2015-03-21 20:00:00,46,"s:40~l:41~t:46","georgetown-hoyas","Georgetown","Hoyas","GTWN","Georgetown Hoyas","Georgetown","110E42","001c58","https://a.espncdn.com/i/teamlogos/ncaa/500/46.png","home",64,FALSE,9,1,17,43.6,24,55,0,24,77.8,7,9,NA,10,6,0,0,36,9,25,27,0,9,9,254,"s:40~l:41~t:254","utah-utes","Utah","Utes","UTAH","Utah Utes","Utah","890012","7e8083","https://a.espncdn.com/i/teamlogos/ncaa/500/254.png",75
400786221,2015,3,2015-03-21,2015-03-21 19:10:00,152,"s:40~l:41~t:152","nc-state-wolfpack","NC State","Wolfpack","NCST","NC State Wolfpack","NC State","EF1216","231f20","https://a.espncdn.com/i/teamlogos/ncaa/500/152.png","away",71,TRUE,11,4,32,45.3,24,53,0,21,74.1,20,27,NA,13,2,1,0,27.3,3,11,45,0,10,10,222,"s:40~l:41~t:222","villanova-wildcats","Villanova","Wildcats","VILL","Villanova Wildcats","Villanova","00205b","13b5ea","https://a.espncdn.com/i/teamlogos/ncaa/500/222.png",68
400786221,2015,3,2015-03-21,2015-03-21 19:10:00,222,"s:40~l:41~t:222","villanova-wildcats","Villanova","Wildcats","VILL","Villanova Wildcats","Villanova","00205b","13b5ea","https://a.espncdn.com/i/teamlogos/ncaa/500/222.png","home",68,FALSE,7,3,20,31.1,19,61,0,22,91.3,21,23,NA,12,5,0,0,32.1,9,28,32,0,5,5,152,"s:40~l:41~t:152","nc-state-wolfpack","NC State","Wolfpack","NCST","NC State Wolfpack","NC State","EF1216","231f20","https://a.espncdn.com/i/teamlogos/ncaa/500/152.png",71
400786184,2015,3,2015-03-21,2015-03-21 18:10:00,2247,"s:40~l:41~t:2247","georgia-state-panthers","Georgia State","Panthers","GAST","Georgia State Panthers","Georgia St","1e539a","ebebeb","https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png","away",67,FALSE,17,2,8,56.5,26,46,0,22,69.2,9,13,NA,4,8,0,0,42.9,6,14,12,0,8,8,2752,"s:40~l:41~t:2752","xavier-musketeers","Xavier","Musketeers","XAV","Xavier Musketeers","Xavier","002144","9ea2a2","https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png",75
400786184,2015,3,2015-03-21,2015-03-21 18:10:00,2752,"s:40~l:41~t:2752","xavier-musketeers","Xavier","Musketeers","XAV","Xavier Musketeers","Xavier","002144","9ea2a2","https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png","home",75,TRUE,13,2,18,67.6,23,34,0,17,88,22,25,NA,5,3,0,0,53.8,7,13,23,0,14,14,2247,"s:40~l:41~t:2247","georgia-state-panthers","Georgia State","Panthers","GAST","Georgia State Panthers","Georgia St","1e539a","ebebeb","https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png",67
400786186,2015,3,2015-03-21,2015-03-21 17:20:00,194,"s:40~l:41~t:194","ohio-state-buckeyes","Ohio State","Buckeyes","OSU","Ohio State Buckeyes","Ohio State","ce1141","505056","https://a.espncdn.com/i/teamlogos/ncaa/500/194.png","away",58,FALSE,9,3,19,38.5,20,52,0,17,86.7,13,15,NA,7,4,0,0,29.4,5,17,26,0,12,12,12,"s:40~l:41~t:12","arizona-wildcats","Arizona","Wildcats","ARIZ","Arizona Wildcats","Arizona","0c234b","ab0520","https://a.espncdn.com/i/teamlogos/ncaa/500/12.png",73
400786186,2015,3,2015-03-21,2015-03-21 17:20:00,12,"s:40~l:41~t:12","arizona-wildcats","Arizona","Wildcats","ARIZ","Arizona Wildcats","Arizona","0c234b","ab0520","https://a.espncdn.com/i/teamlogos/ncaa/500/12.png","home",73,TRUE,14,4,25,36.5,23,63,0,13,83.3,20,24,NA,18,9,0,0,36.8,7,19,43,0,8,8,194,"s:40~l:41~t:194","ohio-state-buckeyes","Ohio State","Buckeyes","OSU","Ohio State Buckeyes","Ohio State","ce1141","505056","https://a.espncdn.com/i/teamlogos/ncaa/500/194.png",58
400786203,2015,3,2015-03-21,2015-03-21 14:53:00,2132,"s:40~l:41~t:2132","cincinnati-bearcats","Cincinnati","Bearcats","CIN","Cincinnati Bearcats","Cincinnati","000000","717073","https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png","away",51,FALSE,5,6,24,31.7,20,63,0,22,64.3,9,14,NA,21,4,2,0,14.3,2,14,45,0,14,14,96,"s:40~l:41~t:96","kentucky-wildcats","Kentucky","Wildcats","UK","Kentucky Wildcats","Kentucky","005DAA","ffffff","https://a.espncdn.com/i/teamlogos/ncaa/500/96.png",64
400786203,2015,3,2015-03-21,2015-03-21 14:53:00,96,"s:40~l:41~t:96","kentucky-wildcats","Kentucky","Wildcats","UK","Kentucky Wildcats","Kentucky","005DAA","ffffff","https://a.espncdn.com/i/teamlogos/ncaa/500/96.png","home",64,TRUE,10,9,26,37,20,54,0,15,71.4,20,28,NA,12,7,0,1,26.7,4,15,38,1,7,7,2132,"s:40~l:41~t:2132","cincinnati-bearcats","Cincinnati","Bearcats","CIN","Cincinnati Bearcats","Cincinnati","000000","717073","https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png",51
